"FreeePartnerId__c","PartnerName__c","MatchCount","CandidateIds","CandidateNames","CandidateFreeeIds"
"77887489","クウジット株式会社","0","","",""
"119152943","コクヨ株式会社 ワークプレイス事業本部 スペースソリューション本部","0","","",""
"112236938","さいたま家づくりネットワーク事務局","0","","",""
"113337501","トヨタ・コニック・プロ株式会社","1","001RB00001VTrkUYAT","トヨタコニックプロ株式会社","119250118"
"111309576","株式会社ＬＩＸＩＬ","0","","",""
"102184607","株式会社ＬＩＸＩＬ住宅研究所","0","","",""
"105043583","株式会社コスモスイニシア　建築本部","0","","",""
"105448655","株式会社コスモスイニシア（流通事業部）","0","","",""
"85038097","株式会社スタッコ","0","","",""
"104848225","株式会社三越伊勢丹プロパティ・デザイン","0","","",""
"104848225","株式会社三越伊勢丹プロパティデザイン","0","","",""
"108865293","株式会社錢高組","1","001RB00001VTqW8YAL","株式会社 錢高組","119250967"
"109374968","合同会社髙木秀太事務所 NOI STUDIO","0","","",""
"103564412","三井不動産レジデンシャルリース株式会社(ソリューション推進部)","0","","",""
"102411107","三菱商事株式会社","1","001RB00001VTqkoYAD","三菱商事 株式会社","119253736"
"98221039","松栄不動産株式会社(アパマンショップ仙台東口店)","0","","",""
"84446808","神奈川県知事　黒岩　祐治","0","","",""
"96603066","西和不動産株式会社 栗東店","0","","",""
"96810444","帝国不動産株式会社","0","","",""
"108259265","柏井建設株式会社","1","001RB00001VTrI5YAL","柏井建設 株式会社","119255254"
