Chunk,StartIndex,EndIndex,Requested,ExitCode,SuccessCount,SkippedCount,FailedCount,Status,Message
1,1,50,50,0,50,0,0,OK,manual first chunk succeeded
2,51,100,50,0,50,0,0,OK,""
3,101,150,50,0,50,0,0,OK,""
4,151,200,50,0,50,0,0,OK,""
5,201,250,50,0,50,0,0,OK,""
6,251,300,50,0,50,0,0,OK,""
7,301,350,50,0,50,0,0,OK,""
8,351,400,50,0,50,0,0,OK,""
9,401,450,50,0,50,0,0,OK,""
10,451,500,50,0,50,0,0,OK,""
11,501,550,50,0,50,0,0,OK,""
12,551,600,50,0,50,0,0,OK,""
13,601,650,50,0,50,0,0,OK,""
14,651,700,50,0,50,0,0,OK,""
15,701,750,50,0,50,0,0,OK,""
16,751,800,50,0,50,0,0,OK,""
17,801,850,50,0,50,0,0,OK,""
