"Name","ARR_Target__c","AnnualBulkBillingProduct__c","AnnualMonthlyPrice__c","AnnualMonthlyProduct__c","BillingTiming__c","Freee_Item_Id__c","InvoiceLineDisplayType__c","MRR_Target__c","ProductType__c","UnitPrice__c"
"Rendery Basicプラン","true","","","","毎月","","","true","継続費用","5000"
"Rendery Proプラン","true","","","","毎月","","","true","継続費用","8000"
"[代理販売20%] Rendery Proプラン","true","","","","毎月","","","true","継続費用","6400"
"[年払_代理販売20%] Rendery Proプランネンバライ","true","","","","年一括","","","","継続費用","76800"
"[OLD] Rendery Enterpriseプラン(2025年9月まで)","true","","","","毎月","","","true","継続費用","11000"
"[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","true","","","","毎月","","","true","継続費用","10000"
"Rendery Enterpriseプラン","true","","","","毎月","","","true","継続費用","15000"
"[代理販売20%] Rendery Enterpriseプラン","true","","","","毎月","","","true","継続費用","12000"
"[年払] Rendery Enterpriseプラン","true","","","","毎月","","","true","継続費用","14000"
"代理販売20%] Rendery Enterpriseプラン","true","","","","年一括","","","","継続費用","144000"
"[年払] Rendery Enterpriseプラン","true","","","","年一括","","","","継続費用","168000"
"Rendery セキュリティオプション(SSO)_初期費用","true","","","","初回のみ","","","","初期費用","100000"
"Rendery セキュリティオプション(SSO)_運用費用","true","","","","毎月","","","true","オプション","30000"
"Rendery セキュリティオプション(IP制限)_初期費用","true","","","","初回のみ","","","","初期費用","100000"
"Rendery セキュリティオプション(IP制限)_運用費用","true","","","","毎月","","","true","オプション","25000"
"Rendery セキュリティオプション(ドメイン制限)_初期費用","true","","","","初回のみ","","","","初期費用","50000"
"Rendery セキュリティオプション(ドメイン制限)_運用費用","true","","","","毎月","","","true","オプション","5000"
"Rendery セキュリティオプション+_初期費用","true","","","","初回のみ","","","","初期費用","350000"
"Rendery セキュリティオプション+_運用費用","true","","","","毎月","","","true","オプション","100000"
"knock knock AI Basicプラン(50クレジット)","true","","","","毎月","","","true","継続費用","11000"
"knock knock AI Proプラン(300クレジット)","true","","","","毎月","","","true","継続費用","55000"
"[月払] knock knock AI Enterpriseプラン 500クレジット","true","","","","毎月","","","true","継続費用","85000"
"[月払] knock knock AI Enterpriseプラン 600クレジット","true","","","","毎月","","","true","継続費用","99000"
"[月払] knock knock AI Enterpriseプラン 700クレジット","true","","","","毎月","","","true","継続費用","112000"
"[月払] knock knock AI Enterpriseプラン 800クレジット","true","","","","毎月","","","true","継続費用","124000"
"[月払] knock knock AI Enterpriseプラン 900クレジット","true","","","","毎月","","","true","継続費用","135000"
"[月払] knock knock AI Enterpriseプラン 1000クレジット","true","","","","毎月","","","true","継続費用","145000"
"[年払] knock knock AI Enterpriseプラン 500クレジット","true","","","","年一括","","","true","継続費用","76500"
"[年払] knock knock AI Enterpriseプラン 600クレジット","true","","","","年一括","","","true","継続費用","89100"
"[年払] knock knock AI Enterpriseプラン 700クレジット","true","","","","年一括","","","true","継続費用","100800"
"[年払] knock knock AI Enterpriseプラン 800クレジット","true","","","","年一括","","","true","継続費用","111600"
"[年払] knock knock AI Enterpriseプラン 900クレジット","true","","","","年一括","","","true","継続費用","121500"
"[年払] knock knock AI Enterpriseプラン 1000クレジット","true","","","","年一括","","","true","継続費用","130500"
"knock knock AI 都度払い","true","","","","初回のみ","","","","初期費用","3181"
"受託開発","true","","","","初回のみ","","","","初期費用",""
